,,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,- V EUR,,,,,- V EUR,,,,,,,- V EUR,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,,,,,,,- V EUR,,,- V EUR
173.,122 ,OBČINA ŠKOFJA LOKA,"2.546.767,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.517.655,31 ","0,00 ","2.517.655,31 ","11.520,00 ","11.520,00 ","0,00 ","0,00 ","0,00 ","0,00 ","17.592,32 ","17.592,32 ","5.278,07 ","5.278,07 ","5.278,07 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.480.392,02 ","0,00 ","0,00 ","0,00 ","3.364,00 ","3.364,00 ","0,00 ","0,00 ","284.494,87 ","284.494,87 ","0,00 ","0,00 ","3.162.289,86 ","3.162.289,86 ","0,00 ","0,00 ","0,00 ","30.243,29 ","30.243,29 ","0,00 ","0,00 ","0,00 ","0,00 ","600.906,37 ","43.873,07 ","43.873,07 ","435.157,46 ","435.157,46 ","0,00 ","0,00 ","0,00 ","0,00 ","121.875,84 ","121.875,84 ","1.351.179,90 ","349.272,39 ","349.272,39 ","0,00 ","0,00 ","743.679,00 ","743.679,00 ","258.228,51 ","258.228,51 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","486.705,91 ","77.939,26 ","77.939,26 ","408.766,65 ","408.766,65 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.672,97 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.672,97 ","1.672,97 ","0,00 ","0,00 ","8.472.902,87 "
174.,123 ,OBČINA ŠKOFLJICA,"310.454,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","310.454,56 ","0,00 ","310.454,56 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.840,26 ","6.840,26 ","6.840,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","202.841,22 ","29.371,53 ","29.371,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","158.433,73 ","158.433,73 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","15.035,96 ","15.035,96 ","999.038,83 ","5.791,20 ","5.791,20 ","993.247,63 ","993.247,63 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","56.742,99 ","0,00 ","0,00 ","14.094,36 ","14.094,36 ","16.487,95 ","16.487,95 ","26.160,68 ","26.160,68 ","44.866,79 ","0,00 ","0,00 ","44.866,79 ","44.866,79 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","35.225,32 ","0,00 ","0,00 ","35.225,32 ","35.225,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.752.152,16 ","1.752.152,16 ","0,00 ","1.752.152,16 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.408.162,13 "
175.,124 ,OBČINA ŠMARJE PRI JELŠAH,"190.428,01 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","190.428,01 ","0,00 ","190.428,01 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.796,61 ","8.796,61 ","8.796,61 ","2.635,82 ","0,00 ","0,00 ","2.635,82 ","2.635,82 ","1.642.852,07 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.720,00 ","0,00 ","6.720,00 ","0,00 ","1.501.708,16 ","1.501.708,16 ","0,00 ","0,00 ","0,00 ","24.099,01 ","24.099,01 ","13.327,55 ","13.327,55 ","96.997,35 ","96.997,35 ","139.691,89 ","1.443,60 ","1.443,60 ","104.873,58 ","104.873,58 ","0,00 ","0,00 ","0,00 ","0,00 ","33.374,71 ","33.374,71 ","1.158.464,90 ","930.193,06 ","930.193,06 ","145.284,18 ","145.284,18 ","16.825,34 ","16.825,34 ","66.162,32 ","66.162,32 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","852.212,96 ","506.313,81 ","506.313,81 ","345.899,15 ","345.899,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","23.257,44 ","23.257,44 ","0,00 ","23.257,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.018.339,70 "
176.,206 ,OBČINA ŠMARJEŠKE TOPLICE,"36.286,98 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","36.286,98 ","0,00 ","36.286,98 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","64.090,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","48.448,41 ","48.448,41 ","0,00 ","0,00 ","0,00 ","15.642,48 ","15.642,48 ","0,00 ","0,00 ","0,00 ","0,00 ","65.788,20 ","0,00 ","0,00 ","65.788,20 ","65.788,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","404.523,50 ","0,00 ","0,00 ","48.630,37 ","48.630,37 ","355.893,13 ","355.893,13 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","44.830,96 ","44.830,96 ","8.797,96 ","36.033,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","615.520,53 "
177.,125 ,OBČINA ŠMARTNO OB PAKI,"14.240,00 ","659,00 ","659,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.581,00 ","0,00 ","13.581,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.940,00 ","2.940,00 ","2.940,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","256.988,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","222.565,00 ","222.565,00 ","0,00 ","0,00 ","0,00 ","32.793,00 ","32.793,00 ","1.630,00 ","1.630,00 ","0,00 ","0,00 ","10.116,00 ","0,00 ","0,00 ","10.116,00 ","10.116,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","245.629,00 ","187.718,00 ","187.718,00 ","42.333,00 ","42.333,00 ","2.536,00 ","2.536,00 ","13.042,00 ","13.042,00 ","92.554,00 ","0,00 ","0,00 ","92.554,00 ","92.554,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","133.429,00 ","122.223,00 ","122.223,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.206,00 ","11.206,00 ","0,00 ","0,00 ","13.925,00 ","13.925,00 ","3.395,00 ","10.530,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","769.821,00 "
178.,194 ,OBČINA ŠMARTNO PRI LITIJI,"41.477,99 ","8.905,64 ","8.905,64 ","0,00 ","0,00 ","0,00 ","0,00 ","32.089,10 ","0,00 ","32.089,10 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","483,25 ","483,25 ","0,00 ","0,00 ","0,00 ","313,88 ","313,88 ","313,88 ","0,00 ","0,00 ","1.349.095,33 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","450.589,53 ","450.589,53 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","898.505,80 ","898.505,80 ","2.651,89 ","2.651,89 ","2.651,89 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","303.693,99 ","10.175,51 ","10.175,51 ","0,00 ","0,00 ","287.015,90 ","287.015,90 ","6.502,58 ","6.502,58 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","83.696,44 ","0,00 ","0,00 ","83.696,44 ","83.696,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.780.929,52 "
179.,126 ,OBČINA ŠOŠTANJ,"327.122,02 ","10.366,86 ","10.366,86 ","0,00 ","0,00 ","0,00 ","0,00 ","316.205,15 ","0,00 ","316.205,15 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","550,01 ","550,01 ","1.382,54 ","1.382,54 ","1.382,54 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","974.139,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.874,36 ","0,00 ","0,00 ","8.874,36 ","957.151,38 ","957.151,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.113,26 ","8.113,26 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","162.593,95 ","70.217,60 ","70.217,60 ","51.745,24 ","51.745,24 ","0,00 ","0,00 ","40.631,11 ","40.631,11 ","364.817,72 ","0,00 ","0,00 ","364.817,72 ","364.817,72 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","167.408,58 ","20.863,89 ","20.863,89 ","146.544,69 ","146.544,69 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","280.455,66 ","280.455,66 ","1.146,42 ","279.309,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.277.919,47 "
180.,127 ,OBČINA ŠTORE,"52.169,00 ","1.603,00 ","1.603,00 ","0,00 ","0,00 ","0,00 ","0,00 ","50.566,00 ","0,00 ","50.566,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","159.329,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","158.273,00 ","158.273,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.056,00 ","1.056,00 ","5.596,00 ","0,00 ","0,00 ","5.596,00 ","5.596,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","18.338,00 ","0,00 ","0,00 ","15.166,00 ","15.166,00 ","0,00 ","0,00 ","3.172,00 ","3.172,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","114.696,00 ","38.357,00 ","38.357,00 ","76.339,00 ","76.339,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","66.940,00 ","55.638,00 ","49.033,00 ","6.605,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.302,00 ","11.302,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","417.068,00 "
181.,184 ,OBČINA TABOR,"97.737,66 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","93.302,92 ","0,00 ","93.302,92 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.434,74 ","4.434,74 ","2.691,28 ","2.691,28 ","2.691,28 ","4.596,40 ","0,00 ","0,00 ","4.596,40 ","4.596,40 ","266.979,01 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","260.900,76 ","260.900,76 ","0,00 ","0,00 ","0,00 ","5.831,26 ","5.831,26 ","246,99 ","246,99 ","0,00 ","0,00 ","38.859,08 ","0,00 ","0,00 ","38.859,08 ","38.859,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","39.018,31 ","0,00 ","0,00 ","35.677,36 ","35.677,36 ","3.340,95 ","3.340,95 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","15.910,62 ","2.190,61 ","2.190,61 ","13.720,01 ","13.720,01 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","240.249,90 ","240.249,90 ","0,00 ","240.249,90 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","706.042,26 "
182.,10 ,OBČINA TIŠINA,"153.423,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","153.423,00 ","0,00 ","153.423,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.607,00 ","7.607,00 ","7.607,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","140.959,00 ","13.846,00 ","13.846,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.923,00 ","0,00 ","0,00 ","6.923,00 ","102.187,00 ","102.187,00 ","0,00 ","0,00 ","0,00 ","7.354,00 ","7.354,00 ","0,00 ","0,00 ","10.649,00 ","10.649,00 ","740.162,00 ","0,00 ","0,00 ","740.162,00 ","740.162,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","36.448,00 ","0,00 ","0,00 ","33.225,00 ","33.225,00 ","3.223,00 ","3.223,00 ","0,00 ","0,00 ","801,00 ","0,00 ","0,00 ","801,00 ","801,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","125,00 ","125,00 ","0,00 ","125,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.496,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.496,00 ","11.496,00 ","1.091.021,00 "
183.,128 ,OBČINA TOLMIN,"466.490,00 ","9.150,00 ","0,00 ","0,00 ","9.150,00 ","0,00 ","0,00 ","457.340,00 ","0,00 ","457.340,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.600,00 ","7.600,00 ","7.600,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.381.694,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.375.297,00 ","2.375.297,00 ","0,00 ","0,00 ","0,00 ","6.397,00 ","6.397,00 ","0,00 ","0,00 ","0,00 ","0,00 ","86.396,00 ","0,00 ","0,00 ","86.396,00 ","86.396,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","151.369,00 ","54.227,00 ","54.227,00 ","94.958,00 ","94.958,00 ","0,00 ","0,00 ","2.184,00 ","2.184,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","6.566,00 ","0,00 ","0,00 ","6.566,00 ","6.566,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.664,00 ","2.664,00 ","0,00 ","2.664,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.102.779,00 "
184.,129 ,OBČINA TRBOVLJE,"1.002.834,24 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.001.444,46 ","0,00 ","1.001.444,46 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.389,78 ","1.389,78 ","10.000,87 ","10.000,87 ","10.000,87 ","15.351,60 ","15.351,60 ","15.351,60 ","0,00 ","0,00 ","1.616.330,45 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.463.949,03 ","1.463.949,03 ","0,00 ","0,00 ","0,00 ","65.336,29 ","65.336,29 ","0,00 ","0,00 ","87.045,13 ","87.045,13 ","212.222,96 ","42.802,95 ","42.802,95 ","164.579,95 ","164.579,95 ","0,00 ","0,00 ","0,00 ","0,00 ","4.840,06 ","4.840,06 ","835.629,30 ","631.472,99 ","631.472,99 ","96.224,48 ","96.224,48 ","53.480,45 ","53.480,45 ","54.451,38 ","54.451,38 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","294.280,50 ","184.085,30 ","184.085,30 ","110.195,20 ","110.195,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","10.500,00 ","10.500,00 ","0,00 ","10.500,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.997.149,92 "
185.,130 ,OBČINA TREBNJE,"354.745,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","354.745,44 ","0,00 ","354.745,44 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","4.147,20 ","4.147,20 ","4.147,20 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.807.553,25 ","28.150,89 ","28.150,89 ","0,00 ","3.958,00 ","3.958,00 ","0,00 ","0,00 ","103.011,55 ","0,00 ","101.565,55 ","1.446,00 ","1.594.071,60 ","1.594.071,60 ","0,00 ","0,00 ","0,00 ","43.765,21 ","43.765,21 ","0,00 ","0,00 ","34.596,00 ","34.596,00 ","478.870,23 ","0,00 ","0,00 ","478.870,23 ","478.870,23 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","189.574,78 ","10.487,24 ","10.487,24 ","42.928,42 ","42.928,42 ","96.197,03 ","96.197,03 ","39.962,09 ","39.962,09 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","177.610,03 ","0,00 ","0,00 ","177.610,03 ","177.610,03 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","27.606,36 ","27.606,36 ","0,00 ","27.606,36 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.668,80 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.668,80 ","2.668,80 ","0,00 ","0,00 ","3.042.776,09 "
186.,185 ,OBČINA TRNOVSKA VAS,"16.408,21 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","16.408,21 ","0,00 ","16.408,21 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","134.934,81 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","127.574,09 ","127.574,09 ","0,00 ","0,00 ","0,00 ","7.360,72 ","7.360,72 ","0,00 ","0,00 ","0,00 ","0,00 ","30.806,08 ","0,00 ","0,00 ","30.806,08 ","30.806,08 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.088,60 ","2.847,30 ","2.847,30 ","241,30 ","241,30 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","69.964,71 ","69.964,71 ","6.706,42 ","63.258,29 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","255.202,41 "
187.,186 ,OBČINA TRZIN,"118.136,00 ","41.676,00 ","41.676,00 ","0,00 ","0,00 ","0,00 ","0,00 ","75.557,00 ","0,00 ","75.557,00 ","0,00 ","0,00 ","903,00 ","903,00 ","0,00 ","0,00 ","0,00 ","0,00 ","8.066,00 ","8.066,00 ","8.066,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","286.255,00 ","0,00 ","0,00 ","0,00 ","6.140,00 ","0,00 ","6.140,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","11.661,00 ","11.661,00 ","0,00 ","0,00 ","0,00 ","4.958,00 ","4.958,00 ","0,00 ","0,00 ","263.496,00 ","263.496,00 ","4.752,00 ","0,00 ","0,00 ","4.752,00 ","4.752,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","42.885,00 ","18.259,00 ","18.259,00 ","0,00 ","0,00 ","24.018,00 ","24.018,00 ","608,00 ","608,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","3.536,00 ","0,00 ","0,00 ","3.536,00 ","3.536,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","13.254,00 ","13.254,00 ","13.254,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","57.360,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","57.360,00 ","57.360,00 ","0,00 ","0,00 ","534.244,00 "
188.,131 ,OBČINA TRŽIČ,"242.668,00 ","8.609,00 ","8.609,00 ","0,00 ","0,00 ","0,00 ","0,00 ","210.414,00 ","0,00 ","210.414,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","23.645,00 ","23.645,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","564.585,00 ","794,00 ","0,00 ","794,00 ","0,00 ","0,00 ","0,00 ","0,00 ","20.799,00 ","0,00 ","0,00 ","20.799,00 ","535.215,00 ","535.215,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","7.777,00 ","7.777,00 ","161.683,00 ","0,00 ","0,00 ","161.683,00 ","161.683,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","282.867,00 ","26.954,00 ","26.954,00 ","49.095,00 ","49.095,00 ","158.163,00 ","158.163,00 ","48.655,00 ","48.655,00 ","13.688,00 ","0,00 ","0,00 ","13.688,00 ","13.688,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","130.943,00 ","63.236,00 ","63.236,00 ","67.707,00 ","67.707,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","1.044.676,00 ","1.016.856,00 ","77.338,00 ","939.518,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","27.820,00 ","27.820,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","0,00 ","2.441.110,00 "
